"COL0","COL1","COL2","COL3","COL4"
"24730085",415.00,70.00,265.00,85.00
"24730086",355.00,65.00,240.00,45.00
"24730087",1050.00,215.00,705.00,130.00
"24730089",460.00,50.00,350.00,60.00
"24730091",415.00,60.00,310.00,45.00
"24730092",550.00,95.00,390.00,70.00
"24730094",410.00,65.00,270.00,75.00
"24730095",590.00,105.00,395.00,95.00
"24730096",565.00,105.00,370.00,85.00
"24730097",515.00,80.00,335.00,100.00
"24730098",510.00,85.00,400.00,35.00
"24730099",465.00,80.00,310.00,75.00
"24730100",455.00,75.00,315.00,60.00
"24730102",375.00,55.00,300.00,25.00
"24730103",1140.00,215.00,760.00,160.00
"24730106",525.00,105.00,335.00,85.00
"24730107",600.00,100.00,430.00,75.00
"24730108",365.00,80.00,240.00,50.00
"24730109",1250.00,245.00,905.00,100.00
"24730110",800.00,145.00,555.00,95.00
"24730111",415.00,90.00,290.00,35.00
"24730112",405.00,80.00,255.00,65.00
"24730113",305.00,45.00,220.00,40.00
"24730116",255.00,45.00,180.00,35.00
"24730117",355.00,60.00,260.00,40.00
"24730118",800.00,120.00,605.00,70.00
"24730119",585.00,95.00,435.00,55.00
"24730120",335.00,40.00,210.00,85.00
"24730121",470.00,75.00,345.00,55.00
"24730122",655.00,145.00,450.00,60.00
"24730123",595.00,80.00,455.00,70.00
"24730124",375.00,75.00,275.00,30.00
"24730125",570.00,95.00,370.00,100.00
"24730126",485.00,55.00,335.00,95.00
"24730127",435.00,55.00,305.00,75.00
"24730128",325.00,30.00,215.00,75.00
"24730129",500.00,70.00,335.00,90.00
"24730130",315.00,30.00,230.00,50.00
"24730131",740.00,140.00,550.00,50.00
"24730132",365.00,70.00,230.00,70.00
"24730133",1925.00,140.00,1115.00,670.00
"24730135",360.00,45.00,270.00,45.00
"24730136",945.00,50.00,480.00,410.00
"24730137",755.00,115.00,545.00,90.00
"24730138",470.00,85.00,345.00,40.00
"24730139",370.00,50.00,240.00,75.00
"24730140",445.00,55.00,325.00,65.00
"24730142",570.00,95.00,385.00,85.00
"24730143",410.00,75.00,285.00,55.00
"24730144",515.00,100.00,325.00,80.00
"24730145",445.00,75.00,330.00,40.00
"24730146",270.00,45.00,175.00,45.00
"24730147",390.00,30.00,310.00,50.00
"24730148",435.00,70.00,295.00,75.00
"24730149",855.00,160.00,635.00,55.00
"24730150",585.00,90.00,450.00,50.00
"24730151",550.00,95.00,405.00,50.00
"24730152",310.00,55.00,225.00,35.00
"24730153",345.00,50.00,265.00,30.00
"24730154",520.00,75.00,415.00,30.00
