"COL0","COL1","COL2"
"4620310.00",13.00,11.20
"4620311.00",22.30,17.50
"4620312.00",17.60,16.50
"4620313.00",10.90,12.10
"4620314.00",10.30,10.80
"4620315.00",,
"4620316.00",3.70,1.20
"4620317.02",14.20,19.90
"4620317.03",8.60,12.30
"4620317.04",14.90,20.00
"4620320.00",11.10,9.90
"4620321.00",12.90,9.30
"4620322.02",10.20,10.40
"4620322.03",14.50,18.00
"4620322.04",13.90,11.30
"4620323.00",12.50,9.90
"4620324.01",19.10,22.80
"4620324.02",15.60,18.90
"4620325.01",14.70,20.20
"4620325.02",19.60,25.70
"4620325.03",13.20,16.70
"4620325.05",13.80,12.00
"4620325.06",9.60,10.50
"4620326.01",14.50,19.40
"4620326.02",19.20,22.20
"4620326.03",15.40,18.10
"4620327.00",17.10,18.90
"4620328.00",34.50,36.30
"4620329.00",16.30,20.40
"4620330.00",21.30,21.80
"4620340.00",6.40,7.50
"4620350.00",21.60,20.30
"4620351.00",16.60,19.80
"4620352.00",16.90,26.10
"4620353.00",8.20,9.20
"4620354.00",4.90,5.70
"4620355.00",13.70,13.50
"4620356.00",7.20,8.30
"4620360.00",4.60,6.00
"4620361.00",16.40,11.10
"4620362.00",7.10,5.50
"4620363.00",11.70,10.30
"4620364.00",15.10,9.00
"4620365.00",13.30,11.00
"4620366.00",7.80,5.90
"4620367.00",10.70,10.40
"4620370.00",9.00,9.70
"4620380.00",11.90,14.10
"4620381.00",21.30,22.60
"4620382.01",12.30,11.40
"4620382.02",8.00,9.40
"4620383.01",11.40,9.60
"4620383.02",12.90,13.40
"4620385.00",16.40,26.10
"4620390.00",21.10,22.50
"4620391.00",21.50,20.80
"4620392.00",13.90,10.60
"4620393.00",15.50,18.60
"4620394.00",17.80,22.90
"4620395.01",43.20,49.70
"4620395.02",18.50,18.20
"4620395.03",13.90,13.70
"4620396.00",9.70,8.50
"4620397.00",5.10,3.30
"4620400.00",8.20,9.50
"4620401.00",8.80,10.70
"4620402.00",9.20,6.90
"4620403.00",8.50,8.80
"4620404.00",9.70,9.50
"4620410.01",15.70,20.00
"4620410.02",20.00,30.40
"4620410.03",15.20,21.20
"4620412.00",11.90,12.50
"4620413.01",5.00,4.50
"4620413.02",15.80,15.00
"4620415.03",18.40,23.20
"4620415.04",17.00,19.90
"4620415.05",5.80,5.50
"4620415.06",6.10,5.30
"4620416.01",6.20,6.50
"4620416.02",11.90,15.70
"4620417.01",15.60,18.50
"4620417.02",29.00,32.50
"4620418.00",16.90,13.20
"4620419.00",27.60,32.50
"4620420.00",10.70,11.50
"4620421.01",31.90,37.60
"4620421.02",28.60,33.50
"4620430.00",12.20,12.00
"4620431.00",9.80,11.50
"4620432.00",5.40,4.00
"4620433.00",6.20,6.00
"4620440.00",,
"4620450.00",7.00,6.90
"4620451.00",6.60,4.80
"4620452.00",9.90,14.30
"4620453.01",3.50,4.00
"4620453.02",5.20,4.60
"4620460.00",3.80,4.40
"4620461.00",5.20,5.60
"4620462.01",5.30,6.20
"4620462.02",5.10,5.60
"4620470.01",4.80,5.80
"4620470.03",3.60,3.00
"4620470.04",4.10,5.10
"4620470.05",4.80,7.10
"4620480.00",5.70,5.80
"4620490.00",23.00,14.50
"4620491.00",1.50,1.10
"4620500.00",7.10,11.10
"4620511.01",7.40,9.20
"4620511.02",17.70,22.10
"4620512.02",9.40,10.50
"4620512.03",13.60,13.50
"4620512.04",9.40,9.80
"4620513.01",9.60,12.00
"4620513.02",16.90,17.30
"4620514.01",8.70,9.60
"4620514.02",7.10,8.40
"4620515.01",6.00,6.80
"4620515.02",7.30,8.70
"4620515.03",7.40,9.60
"4620515.04",8.60,10.10
"4620520.02",7.90,10.70
"4620520.03",10.30,13.50
"4620520.04",10.90,13.40
"4620521.01",9.00,11.70
"4620521.04",6.80,7.10
"4620521.05",5.30,5.40
"4620521.06",5.70,4.90
"4620521.07",5.50,7.20
"4620522.01",4.90,6.10
"4620522.02",7.60,8.50
"4620523.00",4.90,6.50
"4620530.00",6.30,6.70
"4620540.00",18.90,22.20
"4620550.02",6.40,5.60
"4620550.03",4.00,4.10
"4620550.04",4.80,4.80
"4620570.00",17.90,22.50
"4620580.01",11.50,14.70
"4620580.02",6.50,9.00
"4620580.03",6.20,9.00
"4620581.01",9.50,13.70
