"COL0","COL1","COL2"
"24220082",1.30,0.00
"24220083",0.00,0.00
"24220084",0.00,0.00
"24220085",1.20,2.80
"24220086",,
"24220087",3.30,1.50
"2423",9.90,7.20
"24230001",1.90,3.30
"24230002",0.70,0.00
"24230003",5.40,5.30
"24230004",5.40,7.70
"24230005",3.40,0.00
"24230006",4.60,4.50
"24230007",2.60,2.90
"24230008",7.80,5.90
"24230009",4.00,0.00
"24230010",1.00,0.00
"24230011",18.80,26.10
"24230012",2.80,5.90
"24230013",1.80,4.30
"24230014",1.10,0.00
"24230015",2.10,0.00
"24230016",3.10,7.10
"24230017",4.10,8.30
"24230018",1.60,0.00
"24230019",1.30,0.00
"24230020",1.80,0.00
"24230021",3.20,0.00
"24230022",2.20,0.00
"24230023",3.10,4.00
"24230024",2.10,4.50
"24230025",0.00,0.00
"24230026",1.50,0.00
"24230027",2.30,1.90
"24230028",4.70,8.30
"24230029",7.90,12.50
"24230030",12.60,25.00
"24230031",18.10,18.20
"24230032",12.40,16.70
"24230033",16.60,17.40
"24230034",33.30,0.00
"24230035",21.60,20.00
"24230036",19.30,18.80
"24230037",14.20,20.80
"24230038",13.00,13.30
"24230039",13.90,0.00
"24230040",12.00,7.10
"24230041",11.10,11.80
"24230042",16.00,14.30
"24230043",18.40,25.00
"24230044",12.20,13.30
"24230045",5.40,25.00
"24230046",13.10,9.10
"24230047",0.00,0.00
"24230048",2.00,5.30
"24230049",3.10,0.00
"24230050",16.70,12.50
"24230051",10.80,15.40
"24230052",7.30,0.00
"24230053",6.40,2.40
"24230054",1.60,0.00
"24230055",2.80,0.00
"24230056",1.60,0.00
"24230057",12.10,11.10
"24230058",12.00,4.30
"24230059",12.80,12.50
"24230060",18.40,31.60
"24230061",4.90,6.70
"24230062",3.20,10.00
"24230063",4.50,0.00
"24230064",3.50,0.00
"24230065",18.00,26.50
"24230066",12.90,12.50
"24230067",10.00,13.60
"24230068",8.50,8.70
"24230069",4.30,0.00
"24230070",18.40,20.00
"24230071",21.90,18.20
"24230072",19.20,14.30
"24230073",15.60,7.70
"24230074",9.20,7.10
"24230075",5.90,0.00
"24230076",7.90,10.70
"24230077",0.70,0.00
"24230078",2.40,4.30
"24230079",6.60,4.80
"24230080",8.80,5.90
"24230081",6.90,3.70
"24230082",4.10,8.30
"24230083",3.60,0.00
"24230084",2.40,7.70
"24230085",1.20,0.00
"24230086",0.00,0.00
"24230087",2.50,5.00
"24230088",3.00,2.70
"24230089",12.50,10.00
"24230090",3.00,5.00
"24230091",0.00,0.00
"24230092",1.90,0.00
"24230093",0.90,0.00
"24230094",1.70,0.00
"24230095",2.60,0.00
"24230096",1.00,3.70
"24230097",1.10,0.00
"24230098",11.30,20.00
"24230099",0.00,0.00
"24230100",3.30,4.40
"24230101",2.20,9.10
"24230102",2.30,0.00
"24230103",4.30,0.00
"24230104",12.80,15.80
"24230105",8.90,13.30
"24230106",6.60,0.00
"24230107",2.10,0.00
"24230108",19.20,5.90
"24230109",12.10,16.70
"24230110",26.80,33.30
"24230111",18.20,18.20
"24230112",31.30,16.70
"24230113",8.00,0.00
"24230115",29.10,28.60
"24230116",29.90,37.50
"24230117",19.50,11.10
"24230118",20.80,16.70
"24230119",21.30,15.40
"24230120",17.10,9.10
"24230121",25.50,13.30
"24230122",24.70,0.00
"24230123",20.70,8.30
"24230124",38.00,11.10
"24230125",30.60,21.40
"24230126",23.60,10.50
"24230127",17.40,0.00
"24230128",16.00,13.30
"24230129",15.50,6.30
"24230130",24.20,18.20
"24230131",30.70,25.00
"24230132",23.30,16.70
"24230133",17.40,20.00
"24230134",12.00,6.70
"24230135",21.20,23.10
"24230136",5.90,7.70
"24230137",10.90,6.70
"24230138",17.20,7.70
"24230139",24.40,22.20
"24230140",19.40,7.70
"24230141",14.10,15.40
"24230142",19.20,37.50
"24230143",28.60,27.30
"24230144",18.60,16.70
"24230145",26.90,25.00
"24230146",13.10,0.00
"24230147",20.60,10.00
"24230148",22.10,11.10
"24230149",25.00,22.20
"24230150",37.00,45.50
"24230151",23.90,7.70
"24230152",26.40,27.30
"24230153",36.00,15.40
"24230154",45.90,16.70
"24230155",28.10,11.10
"24230158",34.00,33.30
"24230159",32.40,46.20
"24230160",37.50,0.00
"24230161",48.10,36.40
"24230162",42.90,16.70
"24230163",25.40,14.30
"24230164",19.60,8.30
"24230165",23.10,17.20
"24230166",25.20,25.00
"24230167",19.60,0.00
"24230168",19.40,6.70
"24230169",33.10,14.30
"24230170",21.90,7.10
