"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5941802",,,,,,,,,,175.00,60.00,55.00,65.00,175.00,115.00,90.00,25.00,60.00,90.00,55.00,25.00,0.00,0.00,0.00,0.00,65.00,10.00,10.00,45.00,,,,,,,,
"5941805",,,,,,,,,,95.00,45.00,15.00,35.00,95.00,55.00,40.00,15.00,35.00,40.00,30.00,0.00,0.00,0.00,0.00,0.00,40.00,25.00,10.00,10.00,,,,,,,,
"5941806",,,,,,,,,,65.00,35.00,15.00,15.00,65.00,45.00,35.00,10.00,20.00,35.00,25.00,0.00,0.00,10.00,0.00,0.00,25.00,10.00,0.00,20.00,,,,,,,,
"5941808",,,,,,,,,,95.00,50.00,30.00,10.00,95.00,20.00,20.00,0.00,70.00,20.00,15.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,0.00,20.00,,,,,,,,
"5941809",,,,,,,,,,70.00,30.00,20.00,15.00,70.00,20.00,15.00,0.00,45.00,20.00,15.00,10.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,,,,,,,,
"5941812",,,,,,,,,,165.00,80.00,40.00,50.00,165.00,95.00,65.00,35.00,70.00,60.00,45.00,0.00,0.00,10.00,0.00,0.00,80.00,40.00,0.00,35.00,,,,,,,,
"5941821",,,,,,,,,,370.00,230.00,70.00,70.00,370.00,155.00,100.00,55.00,215.00,100.00,65.00,15.00,0.00,15.00,0.00,0.00,120.00,35.00,10.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5941828",,,,,,,,,,40.00,15.00,15.00,10.00,40.00,20.00,15.00,0.00,20.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,10.00,,,,,,,,
"5941837",,,,,,,,,,95.00,70.00,10.00,10.00,95.00,50.00,30.00,20.00,40.00,30.00,15.00,15.00,0.00,0.00,0.00,0.00,35.00,10.00,0.00,30.00,,,,,,,,
"5941839",,,,,,,,,,145.00,100.00,20.00,25.00,145.00,35.00,10.00,20.00,110.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,55.00,25.00,0.00,25.00,,,,,,,,
"5941840",,,,,,,,,,130.00,80.00,30.00,20.00,130.00,60.00,30.00,30.00,75.00,30.00,15.00,0.00,0.00,10.00,0.00,0.00,50.00,15.00,0.00,30.00,,,,,,,,
"5941841",,,,,,,,,,145.00,95.00,25.00,30.00,150.00,45.00,30.00,20.00,100.00,30.00,15.00,10.00,0.00,10.00,0.00,0.00,50.00,15.00,0.00,30.00,,,,,,,,
