"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"3341","6531","/0-4years;Females","2250","Female",2011
"3342","6532","/0-4years;Females","1085","Female",2011
"3343","6533","/0-4years;Females","1165","Female",2011
"3344","7111","/0-4years;Females","530","Female",2011
"3345","7121","/0-4years;Females","380","Female",2011
"3346","7131","/0-4years;Females","975","Female",2011
"3347","7151","/0-4years;Females","330","Female",2011
"3348","7152","/0-4years;Females","320","Female",2011
"3349","8111","/0-4years;Females","565","Female",2011
"3350","8121","/0-4years;Females","725","Female",2011
"3351","8131","/0-4years;Females","1155","Female",2011
"3352","8141","/0-4years;Females","1220","Female",2011
"3353","8151","/0-4years;Females","380","Female",2011
"3354","8152","/0-4years;Females","95","Female",2011
"3355","9111","/0-4years;Females","135","Female",2011
"3356","9121","/0-4years;Females","130","Female",2011
"3357","9122","/0-4years;Females","110","Female",2011
"3358","9123","/0-4years;Females","840","Female",2011
"3359","9131","/0-4years;Females","195","Female",2011
"3360","9141","/0-4years;Females","785","Female",2011
"3361","9151","/0-4years;Females","215","Female",2011
"3362","9161","/0-4years;Females","120","Female",2011
"3363","9171","/0-4years;Females","25","Female",2011
"3364","10011","/0-4years;Females","35","Female",2011
"3365","10012","/0-4years;Females","50","Female",2011
"3366","10013","/0-4years;Females","40","Female",2011
"3367","10014","/0-4years;Females","270","Female",2011
"3368","11111","/0-4years;Females","410","Female",2011
"3369","11112","/0-4years;Females","360","Female",2011
"3370","11121","/0-4years;Females","220","Female",2011
"3371","11131","/0-4years;Females","25","Female",2011
"3372","11132","/0-4years;Females","375","Female",2011
"3373","11133","/0-4years;Females","30","Female",2011
"3374","11141","/0-4years;Females","310","Female",2011
"3375","11211","/0-4years;Females","235","Female",2011
"3376","12111","/0-4years;Females","905","Female",2011
"3377","12112","/0-4years;Females","3015","Female",2011
"3378","12113","/0-4years;Females","1290","Female",2011
"3379","12114","/0-4years;Females","985","Female",2011
"3380","12115","/0-4years;Females","905","Female",2011
"3381","12121","/0-4years;Females","935","Female",2011
"3382","12131","/0-4years;Females","590","Female",2011
"3383","12132","/0-4years;Females","1480","Female",2011
"3384","12141","/0-4years;Females","400","Female",2011
"3385","12151","/0-4years;Females","470","Female",2011
"3386","12152","/0-4years;Females","430","Female",2011
"3387","13111","/0-4years;Females","4070","Female",2011
"3388","13112","/0-4years;Females","1570","Female",2011
"3389","13113","/0-4years;Females","2190","Female",2011
"3390","13114","/0-4years;Females","3155","Female",2011
"3391","14111","/0-4years;Females","1015","Female",2011
"3392","14112","/0-4years;Females","1560","Female",2011
"3393","14113","/0-4years;Females","1625","Female",2011
"3394","14114","/0-4years;Females","1090","Female",2011
"3395","14121","/0-4years;Females","5150","Female",2011
"3396","14122","/0-4years;Females","3285","Female",2011
"3397","15111","/0-4years;Females","725","Female",2011
"3398","15121","/0-4years;Females","1025","Female",2011
"3399","15131","/0-4years;Females","785","Female",2011
"3400","15141","/0-4years;Females","755","Female",2011
"3401","15151","/0-4years;Females","3260","Female",2011
"3402","15161","/0-4years;Females","3835","Female",2011
"3403","15171","/0-4years;Females","4295","Female",2011
"3404","16111","/0-4years;Females","3070","Female",2011
"3405","16112","/0-4years;Females","2030","Female",2011
"3406","16121","/0-4years;Females","2210","Female",2011
"3407","16122","/0-4years;Females","3305","Female",2011
"3408","16211","/0-4years;Females","1555","Female",2011
"3409","16212","/0-4years;Females","1795","Female",2011
"3410","16213","/0-4years;Females","3275","Female",2011
"3411","16221","/0-4years;Females","3300","Female",2011
"3412","16222","/0-4years;Females","2320","Female",2011
"3413","16223","/0-4years;Females","425","Female",2011
"3414","16231","/0-4years;Females","1035","Female",2011
"3415","16311","/0-4years;Females","4585","Female",2011
"3416","16321","/0-4years;Females","1225","Female",2011
"3417","16331","/0-4years;Females","445","Female",2011
"3418","16341","/0-4years;Females","1890","Female",2011
"3419","16342","/0-4years;Females","3220","Female",2011
"3420","16343","/0-4years;Females","780","Female",2011
"3421","17011","/0-4years;Females","440","Female",2011
"3422","17012","/0-4years;Females","315","Female",2011
"3423","18011","/0-4years;Females","940","Female",2011
"3424","1111","/10-14years;Females","500","Female",2011
"3425","1121","/10-14years;Females","745","Female",2011
"3426","1131","/10-14years;Females","500","Female",2011
"3427","1141","/10-14years;Females","210","Female",2011
"3428","1151","/10-14years;Females","1220","Female",2011
"3429","1161","/10-14years;Females","465","Female",2011
"3430","1171","/10-14years;Females","435","Female",2011
"3431","1181","/10-14years;Females","505","Female",2011
"3432","2111","/10-14years;Females","850","Female",2011
"3433","2121","/10-14years;Females","650","Female",2011
"3434","2131","/10-14years;Females","1300","Female",2011
"3435","2141","/10-14years;Females","1575","Female",2011
"3436","2151","/10-14years;Females","1705","Female",2011
"3437","2161","/10-14years;Females","470","Female",2011
"3438","3111","/10-14years;Females","1140","Female",2011
"3439","3121","/10-14years;Females","1790","Female",2011
"3440","3122","/10-14years;Females","955","Female",2011
"3441","3123","/10-14years;Females","1445","Female",2011
"3442","3124","/10-14years;Females","390","Female",2011
"3443","3125","/10-14years;Females","285","Female",2011
"3444","3126","/10-14years;Females","925","Female",2011
"3445","3131","/10-14years;Females","2655","Female",2011
"3446","3132","/10-14years;Females","2335","Female",2011
"3447","3133","/10-14years;Females","2090","Female",2011
"3448","3134","/10-14years;Females","775","Female",2011
"3449","3141","/10-14years;Females","270","Female",2011
"3450","3142","/10-14years;Females","360","Female",2011
"3451","4111","/10-14years;Females","415","Female",2011
"3452","4121","/10-14years;Females","235","Female",2011
"3453","4122","/10-14years;Females","260","Female",2011
"3454","4131","/10-14years;Females","490","Female",2011
"3455","4141","/10-14years;Females","1410","Female",2011
"3456","4151","/10-14years;Females","1975","Female",2011
"3457","4152","/10-14years;Females","1110","Female",2011
"3458","4161","/10-14years;Females","580","Female",2011
"3459","4162","/10-14years;Females","490","Female",2011
"3460","4171","/10-14years;Females","2740","Female",2011
"3461","4181","/10-14years;Females","1910","Female",2011
"3462","4182","/10-14years;Females","620","Female",2011
"3463","5111","/10-14years;Females","1345","Female",2011
"3464","5121","/10-14years;Females","2525","Female",2011
"3465","5131","/10-14years;Females","1185","Female",2011
"3466","5141","/10-14years;Females","580","Female",2011
"3467","5151","/10-14years;Females","3880","Female",2011
"3468","5161","/10-14years;Females","835","Female",2011
"3469","5171","/10-14years;Females","340","Female",2011
"3470","5181","/10-14years;Females","615","Female",2011
"3471","5191","/10-14years;Females","515","Female",2011
"3472","6111","/10-14years;Females","2790","Female",2011
"3473","6112","/10-14years;Females","2930","Female",2011
"3474","6113","/10-14years;Females","1590","Female",2011
